"day","actions","events","asc","dead","alive","broadcast","mail","vote","messages","daychange"
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Silver) Your training at the AGENT academy granted you the 'Throw Under the Bus' skill.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.White) You have been loyal to the cause for years, <b>Blackhat</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Mrs.Magenta) You have been loyal to the cause for years, <b>Inside Man</b>.</td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/> Preparation Night<hr/></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:right;font-size:1.5em;"">Preparation Night Chat Log «</td></tr>","01"
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00134.png"" style=""width:48px;height:48px;""/> Dr.Blue: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">d0 sk </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">jesse we have to hack </td></tr>",""
"01","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">rolled interrogate </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/> Dr.Green: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">im agent </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/> Dr.Silver: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">d0 lc hello people </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/> Dr.Green: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">my name is Jesse in real life </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/> Dr.Green: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">lets do this </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00178.png"" style=""width:48px;height:48px;""/> Dr.Gray: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">pfp check </td></tr>",""
"01","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">hack </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00101.png"" style=""width:48px;height:48px;""/> Dr.Gold: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">white you gotta speak d0 </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00178.png"" style=""width:48px;height:48px;""/> Dr.Gray: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">astraaegis claim d0 </td></tr>",""
"01","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00101.png"" style=""width:48px;height:48px;""/> Dr.Gold: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">or they will sus you </td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/>Events for Preparation Night<hr/></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">No public events.</td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/> Day 1<hr/></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:right;font-size:1.5em;"">Day 1 Chat Log «</td></tr>","10"
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">[!] Dr.Gold: white you gotta speak d0 </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">wow gray is astra pls mole me!! </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">called out by name </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">damn </td></tr>",""
"10","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">nice </td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td></tr></tbody></table></td><td><pre><b>Private message:</b>wait fr?</pre></td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00101.png"" style=""width:48px;height:48px;""/> Dr.Gold: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">it's only 12p game so it's too easy to spot people being agent </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00101.png"" style=""width:48px;height:48px;""/> Dr.Gold: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">sorry fam I'll go easy </td></tr>",""
"10","","","","","","1","","","<tr><td colspan=""2""><pre><b>ANONYMOUS BROADCAST:</b> split the hack</pre></td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td></tr></tbody></table></td><td><pre><b>Private message:</b>whats fr</pre></td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">implying white is impostor </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">from n0 </td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td></tr></tbody></table></td><td><pre><b>Private message:</b>for real?</pre></td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">it's too easy to spot people being agent </td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00015.png"" style=""width:48px;height:48px;""/><br/> Dr.Brown </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00178.png"" style=""width:48px;height:48px;""/><br/> Dr.Gray </td></tr></tbody></table></td><td><pre><b>Private message:</b>watch me guess that your ol also im going for .26</pre></td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">who are the agents then, gold? </td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">Hi guys! I am Ping, and I know that Red and Blue are the imposters in this game of Untrusted! </td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td></tr></tbody></table></td><td><pre><b>Private message:</b>what is for real lol</pre></td></tr>",""
"10","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/> Dr.Silver: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">not for me tho ;) </td></tr>",""
"10","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td></tr></tbody></table></td><td><pre><b>Private message:</b>are you actually AGENT, is my question</pre></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/>Committed Actions On Day 1<hr/></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00134.png"" style=""width:48px;height:48px;""/> Dr.Blue: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Blue used skill <a href=""https://www.playuntrusted.com/manual/skills/#CREATE_HIDEOUT"" target=""_new"">Create Hideout</a></i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00015.png"" style=""width:48px;height:48px;""/> Dr.Brown: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Brown used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.26</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00015.png"" style=""width:48px;height:48px;""/> Dr.Cyan: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Cyan used skill <a href=""https://www.playuntrusted.com/manual/skills/#UNSKILLED_ATTACK"" target=""_new"">Unskilled Attack</a> on 203.0.113.27</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00101.png"" style=""width:48px;height:48px;""/> Dr.Gold: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Gold used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.26</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00178.png"" style=""width:48px;height:48px;""/> Dr.Gray: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Gray used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.26</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/> Dr.Green: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Green used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.26</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Orange used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.27</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00048.png"" style=""width:48px;height:48px;""/> Dr.Pink: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Pink used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.27</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Red used skill <a href=""https://www.playuntrusted.com/manual/skills/#UNSKILLED_ATTACK"" target=""_new"">Unskilled Attack</a> on 203.0.113.27</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/> Dr.Silver: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.Silver used skill <a href=""https://www.playuntrusted.com/manual/skills/#UNSKILLED_ATTACK"" target=""_new"">Unskilled Attack</a> on 203.0.113.27</i></td></tr>",""
"","10","","","","","","","","<tr> <td style=""text-align:left;width:30%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:70%;color: #fff;""><i>Dr.White used skill <a href=""https://www.playuntrusted.com/manual/skills/#HACK_NODE"" target=""_new"">Hack Target</a> on 203.0.113.27</i></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/>Events for Day 1<hr/></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:right;font-size:1.5em;"">Public Event Log «</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">NETSEC now has root privileges on 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">NETSEC now has root privileges on 203.0.113.26.</td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:right;font-size:1.5em;"">Private Event Logs «</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Blue) You have created a new hideout for you to flee to, should the need arise. Better safe than sorry.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Brown) You failed in your attempt to gain access to 203.0.113.26.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Cyan) You kept up your charade, sending some network traffic to target 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Gold) You failed in your attempt to gain access to 203.0.113.26.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Gray) You failed in your attempt to gain access to 203.0.113.26.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Green) You successfully gained root privileges on 203.0.113.26.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Orange) You failed in your attempt to gain access to 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Pink) You failed in your attempt to gain access to 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Red) You kept up your charade, sending some network traffic to target 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Silver) You kept up your charade, sending some network traffic to target 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.White) You successfully gained root privileges on 203.0.113.27.</td></tr>",""
"","","10","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">No private events for Mrs.Magenta.</td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/> Night 1<hr/></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:right;font-size:1.5em;"">Night 1 Chat Log «</td></tr>","11"
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00134.png"" style=""width:48px;height:48px;""/> Dr.Blue: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">i am ddosing white's house </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">pro split </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">[!] Dr.Blue: i am ddosing white's house </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">10 hackers </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">stop! </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">win </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00178.png"" style=""width:48px;height:48px;""/> Dr.Gray: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">wow! </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">its 9 red </td></tr>",""
"11","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">cyan is mole </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/> Dr.Silver: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">Anyone wants to be occd? </td></tr>",""
"11","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td></tr></tbody></table></td><td><pre><b>Private message:</b>no lol</pre></td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">9 </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">oh </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">oh yeah </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">LC </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">because you arent a real hacker </td></tr>",""
"11","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00003.png"" style=""width:48px;height:48px;""/> Dr.Orange: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">kill silver maybe </td></tr>",""
"11","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td></tr></tbody></table></td><td><pre><b>Private message:</b>my name really is Jesse tho</pre></td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">oh... </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">because you are fa </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">yeah i forgot </td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00091.png"" style=""width:48px;height:48px;""/> Dr.White: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">yeah </td></tr>",""
"11","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00165.png"" style=""width:48px;height:48px;""/><br/> Dr.Green </td></tr></tbody></table></td><td><pre><b>Private message:</b>sadge would have loved to out you</pre></td></tr>",""
"11","","","","","1","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #fff;;"">thanks for reminding me </td></tr>",""
"11","","","1","","","","","","<tr> <td style=""text-align:left;width:25%;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/> Dr.Red: </td> <td style=""text-align:justify;width:75%;color: #ffc91b;;"">gotcha </td></tr>",""
"11","","","","","","","1","","<tr><td><table><tbody><tr><td style=""text-center;margin:auto;"">   <img src=""../../avatars/00049.png"" style=""width:48px;height:48px;""/><br/> Dr.Silver </td><td style=""vertical-align:middle;"">» » »</td> <td style=""text-align:center;margin:auto;"">   <img src=""../../avatars/00172.png"" style=""width:48px;height:48px;""/><br/> Dr.Red </td></tr></tbody></table></td><td><pre><b>Private message:</b>you agent?</pre></td></tr>",""
"","","","","","","","","","<tr><td colspan=""2"" style=""color:#00ff01;text-align:center;font-size:1.5em;""> <hr/>Committed Actions On Night 1<hr/></td></tr>",""
